province,city,distance,rice_ratio,Lineage,fr,sex_ratio,FS,P_tgf,P_ila,dr,pd,lon,lat,GDP,nap,CD
浙江,瑞安,1600.1,81.93732193732194,0.758065,1.5,124.0996,2.86,13.063471,17.415229,1.244065,936.2706530291109,120.63,27.78,38454,12.62,18.6
浙江,遂昌,1497.8,82.86888990406578,0.832753,1.5,105.5925,2.62,13.513128,18.055021,1.804623,90.58684521465143,119.27,28.6,24929,17.22,20.7
浙江,临海,1502.1,93.1845780206436,0.815073,1.44,130.2355,2.74,14.062469,18.667893,1.360457,534.3159834177799,121.12,28.85,28292,13.68,21.6
浙江,江山,1445.6,88.20546737213404,0.892396,1.57,106.1381,2.56,12.427468,20.339842,1.545355,297.1768202080238,118.62,28.75,28552,17.84,23.2
浙江,慈溪,1307.8,67.44769874476987,0.747583,1.26,109.2973,2.36,5.469628,22.355659,1.388561,764.1440117560617,121.23,30.17,7337,11.96,24.0999999999999
浙江,宁海,1425.8,80.31496062992126,0.711539,1.39,114.0106,2.56,10.619328,19.56896,1.723248,330.98209441128597,121.43,29.28,4585,16.44,22.3
浙江,仙居,1489.0,86.58810325476992,0.923077,1.58,121.6766,2.72,11.611959,20.2811,1.449088,251.00401606425703,120.73,28.87,2449,11.36,22.0
浙江,龙泉,1635.1,79.54070981210857,0.849315,1.52,106.7928,2.86,16.092432,15.354489,1.391517,94.80222294867603,119.13,28.08,21748,14.64,19.7
浙江,平阳,1614.4,82.11340206185568,0.82726,1.52,121.3177,2.88,13.666823,16.308695,1.820462,827.7830637488106,120.57,27.67,23421,16.85,19.0999999999999
浙江,桐庐,1330.9,85.61001042752866,0.697544,1.21,107.8797,2.84,19.83957,17.602914,1.113502,224.7191011235955,119.67,29.8,49286,29.41,24.9
浙江,永康,1468.2,95.15270383861026,0.945637,1.46,118.8321,2.46,5.585267,24.760553,1.066144,543.3746425166826,120.03,28.9,54396,12.35,23.1
浙江,绍兴,1336.2,98.03600654664484,0.721986,1.22,109.3857,2.58,11.627657,19.517317,1.342398,611.7247238742566,120.57,30.0,1788,27.95,25.0
浙江,东阳,1413.9,88.2716049382716,0.865672,1.35,119.153,2.45,9.559421,25.228275,1.03257,471.5353651523864,120.23,29.28,3562,14.4,24.0
浙江,余姚,1329.1,95.23492169276906,0.667042,1.23,110.9582,2.63,13.03672,18.167053,1.560694,552.964690206529,121.15,30.03,68157,17.07,24.0
浙江,云和,1583.8,73.13432835820895,0.855814,1.42,99.24273,2.94,16.714737,14.580415,1.955771,111.78861788617886,119.57,28.12,29732,15.94,20.4
浙江,兰溪,1416.8,97.24512366780615,0.729307,1.42,117.0842,2.68,14.574022,18.637646,1.688721,502.66565118050266,119.45,29.22,27255,18.95,23.8
浙江,安吉,1213.1,91.09259852611342,0.662692,1.3,102.0408,2.79,18.101385,16.619647,2.024625,243.90243902439025,119.68,30.63,41568,18.79,26.0
浙江,义乌,1398.9,94.3409090909091,0.870048,1.24,132.4968,2.35,4.771072,27.512148,1.190144,669.683257918552,120.07,29.3,8434,17.75,24.4
浙江,泰顺,1708.4,58.25602968460111,0.886128,1.74,112.3134,2.7,16.161616,23.547456,2.864822,204.3132803632236,119.72,27.57,1143,11.27,18.3
浙江,玉环,1547.8,73.04283604135895,0.881081,1.43,114.5549,2.6,9.690477,20.766618,1.695223,1111.111111111111,121.23,28.13,73894,27.72,18.9
浙江,淳安,1409.6,77.16742297587773,0.645661,1.12,106.9245,2.76,23.836029,23.849561,1.510024,101.07816711590297,119.03,29.6,2596,38.99,23.7
浙江,开化,1380.1,81.23584600452928,0.869215,1.62,109.0829,2.55,13.223782,18.904056,1.324503,157.0915619389587,118.42,29.13,19992,15.25,22.8
浙江,嵊泗,1360.2,0.0,0.911765,1.28,104.0165,2.33,7.945989,21.861795,2.819016,930.2325581395348,122.45,30.73,742,36.63,20.7
浙江,平湖,1234.5,97.4241214057508,0.756944,1.03,103.8678,2.88,24.599762,17.4275,1.630163,912.4767225325885,0.0,0.0,759,26.79,24.3
浙江,乐清,1543.0,90.09009009009009,0.798112,1.5,132.1326,2.76,11.38173,20.477883,1.21713,1056.2180579216354,0.0,0.0,4223,7.92,19.3
浙江,建德,1384.4,87.107677450507,0.891732,1.44,108.2664,2.42,11.16593,22.311429,1.740267,215.73604060913706,0.0,0.0,3755,19.35,23.5
浙江,温岭,1514.7,89.11643270024774,0.791248,1.38,116.388,2.49,8.734323,22.395761,1.173426,1423.4449760765551,0.0,0.0,48916,11.91,20.6
浙江,富阳,1290.4,91.92680301399353,0.752181,1.36,105.5884,2.64,14.86702,18.310482,2.085466,359.5132743362832,0.0,0.0,6411,25.92,25.0999999999999
安徽,宿松,1215.6,63.05808958460004,0.851485,1.86,144.1377,2.72,12.79249,17.928585,0.799898,346.7000835421888,116.12,30.15,13124,16.29,26.5
安徽,阜南,903.6,2.176172165893191,0.799604,1.94,122.2144,3.04,17.518128,22.749798,0.863136,938.9140271493212,115.58,32.63,18932,7.62,28.3
安徽,芜湖,1093.8,89.68441584122819,0.634447,1.5,111.0896,2.61,13.531537,21.338335,1.300458,534.2465753424658,118.38,31.33,1749,19.35,27.2
安徽,寿县,950.6,48.22973854155058,0.702703,1.75,136.4854,2.59,12.09625,22.515478,0.960661,464.72184531886023,116.78,32.58,1945,14.48,27.9
安徽,蒙城,854.0,2.475838555312887,0.812245,1.75,132.657,3.23,19.124853,13.814812,1.003703,631.2769010043041,116.57,33.27,2173,10.53,28.2999999999999
安徽,旌德,1230.1,91.17547652641349,0.74269,1.44,104.4403,2.99,24.046076,14.429703,2.322454,165.74585635359117,118.53,30.28,4974,16.99,25.2
安徽,金寨,1000.9,60.9226331513341,0.696599,1.57,157.885,2.87,20.029492,19.063348,0.687981,175.66858940744626,115.92,31.72,14612,15.25,27.9
安徽,歙县,1302.5,49.94646177017391,0.90303,1.51,104.9746,2.92,21.349879,16.968393,1.284984,219.1413237924866,118.43,29.87,1498,15.18,24.2
安徽,含山,1038.9,84.92335596394179,0.71875,1.51,136.1217,2.98,21.373614,20.41105,0.983812,430.622009569378,118.1,31.72,153,20.17,27.1
