,Distance,Population density,Longitude,Latitude,Rice planting ratio,GDP,PNAP,Climate demand,Surname concentration,Fertility rate,Sex ratio of newborn,FS,P_TGF,P_PLA,DR
Distance,1.000***,-0.251***,-0.091**,-0.509***,0.623***,-0.035,0.185***,-0.542***,0.109**,0.220***,0.119***,0.102**,0.202***,0.264***,0.178***
Population density,-0.251***,1.000***,-0.037,-0.158***,0.020,0.170***,-0.263***,-0.151***,0.014,-0.051,0.238***,0.128***,0.170***,-0.082*,-0.327***
Longitude,-0.091**,-0.037,1.000***,0.613***,-0.115**,0.083*,0.149***,0.181***,-0.088*,-0.127***,-0.005,-0.093**,-0.100**,-0.016,0.163***
Latitude,-0.509***,-0.158***,0.613***,1.000***,-0.704***,0.014,0.233***,0.813***,-0.287***,-0.354***,-0.251***,-0.180***,-0.258***,-0.230***,0.315***
Rice planting ratio,0.623***,0.020,-0.115**,-0.704***,1.000***,0.068,0.022,-0.639***,0.138***,0.174***,0.189***,-0.001,0.155***,0.359***,-0.046
GDP,-0.035,0.170***,0.083*,0.014,0.068,1.000***,0.250***,0.013,-0.049,-0.341***,-0.094**,-0.206***,-0.127***,0.094**,0.027
PNAP,0.185***,-0.263***,0.149***,0.233***,0.022,0.250***,1.000***,0.309***,-0.279***,-0.431***,-0.216***,-0.399***,-0.381***,0.257***,0.637***
Climate demand,-0.542***,-0.151***,0.181***,0.813***,-0.639***,0.013,0.309***,1.000***,-0.285***,-0.433***,-0.268***,-0.222***,-0.301***,-0.249***,0.412***
Surname concentration,0.109**,0.014,-0.088*,-0.287***,0.138***,-0.049,-0.279***,-0.285***,1.000***,0.450***,0.306***,0.309***,0.115**,-0.042,-0.232***
Fertility rate,0.220***,-0.051,-0.127***,-0.354***,0.174***,-0.341***,-0.431***,-0.433***,0.450***,1.000***,0.501***,0.512***,0.238***,-0.049,-0.397***
Sex ratio of newborn,0.119***,0.238***,-0.005,-0.251***,0.189***,-0.094**,-0.216***,-0.268***,0.306***,0.501***,1.000***,0.377***,0.191***,-0.105**,-0.334***
FS,0.102**,0.128***,-0.093**,-0.180***,-0.001,-0.206***,-0.399***,-0.222***,0.309***,0.512***,0.377***,1.000***,0.762***,-0.645***,-0.301***
P_TGF,0.202***,0.170***,-0.100**,-0.258***,0.155***,-0.127***,-0.381***,-0.301***,0.115**,0.238***,0.191***,0.762***,1.000***,-0.557***,-0.269***
P_PLA,0.264***,-0.082*,-0.016,-0.230***,0.359***,0.094**,0.257***,-0.249***,-0.042,-0.049,-0.105**,-0.645***,-0.557***,1.000***,0.255***
DR,0.178***,-0.327***,0.163***,0.315***,-0.046,0.027,0.637***,0.412***,-0.232***,-0.397***,-0.334***,-0.301***,-0.269***,0.255***,1.000***
